Cliente_ID,Edad,Ingreso Mensual,Gasto Mensual,Puntuacion de credito,Region
1,40,9311.0,4668.8,563,Oeste
2,35,6773.72,716.97,591,Este
3,19,6905.44,723.16,840,Norte
4,23,4122.59,6409.51,487,Este
5,19,3184.45,6186.34,743,Norte
6,29,5577.6,2276.06,730,Sur
7,46,2114.4,4663.47,453,Oeste
8,18,2777.56,4016.9,482,Oeste
9,37,4880.42,2648.67,672,Sur
10,30,1628.02,6227.4,820,Norte
11,24,8606.0,3541.23,385,Este
12,63,5809.7,2860.9,689,Oeste
13,26,1151.65,5058.53,466,Este
14,37,1973.01,6723.27,407,Norte
15,46,4463.87,3331.16,722,Oeste
16,30,1082.68,4074.0,758,Oeste
17,37,7148.79,1070.96,413,Norte
18,25,6193.39,5984.67,671,Este
19,64,7178.54,2569.25,554,Este
20,48,9688.41,6961.45,470,Sur
21,61,5133.39,1104.07,406,Norte
22,35,6640.99,4353.48,427,Sur
23,42,2541.39,5883.8,497,Sur
24,59,6539.8,6597.01,722,Norte
25,48,8485.31,3755.96,737,Oeste
26,51,6631.87,5494.95,776,Este
27,47,2353.19,2407.24,850,Sur
28,64,9400.28,1807.99,788,Este
29,64,5764.9,4023.26,570,Norte
30,27,9319.12,3869.79,772,Oeste
31,22,6721.89,5025.47,674,Este
32,27,3052.4,2834.91,707,Sur
33,40,7425.61,1088.7,543,Este
34,29,5515.37,5333.98,537,Este
35,40,7086.95,3758.92,672,Oeste
36,53,1688.72,3536.73,517,Este
37,27,4438.65,6092.45,713,Norte
38,51,9829.53,3767.19,444,Sur
39,59,4733.97,6442.51,372,Norte
40,60,8217.33,558.44,338,Oeste
41,20,8758.26,4976.99,437,Norte
42,45,4482.04,4437.45,705,Oeste
43,63,7419.33,967.99,564,Este
44,61,4335.94,2905.51,332,Oeste
45,44,2249.23,4187.89,804,Sur
46,60,2411.6,6978.66,727,Norte
47,32,4233.65,2955.12,720,Norte
48,46,4701.14,3893.95,703,Este
49,54,2442.11,5455.48,355,Oeste
50,49,6918.01,5939.59,711,Sur
51,19,4244.59,4521.4,425,Sur
52,20,8851.88,6039.16,313,Este
53,45,2615.35,6916.51,826,Norte
54,39,7459.75,4454.49,303,Oeste
55,39,7477.07,1602.47,411,Sur
56,31,3459.04,5521.5,762,Norte
57,47,9551.79,3222.22,533,Este
58,58,5192.18,6313.76,593,Oeste
59,38,2353.91,3184.23,368,Este
60,36,3323.75,5129.06,586,Este
